,country,order_value_eur,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,profit,profit_margin,year,month
0,Sweden,17524.02,14122.61,2020-02-12,Books,Goldner-Dibbert,Maxie Marrow,Madelon Bront,Mobile,70-0511466,3401.41,19.409986977873796,2020,2
1,Finland,116563.4,92807.78,2019-09-26,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,Mobile,28-6585323,23755.619999999995,20.379999210729952,2019,9
2,Portugal,296465.56,257480.34,2019-07-11,Clothing,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,PC,58-7703341,38985.22,13.149999615469667,2019,7
3,Portugal,74532.02,59752.32,2020-04-02,Beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,PC,14-6700183,14779.700000000004,19.83000058230007,2020,4
4,Spain,178763.42,146621.76,2019-12-22,Games,Johns and Sons,Emalia Dinse,Bertha Walbrook,Tablet,15-8765160,32141.660000000003,17.979998368793794,2019,12
5,Spain,84900.24,73701.9,2020-07-14,Clothing,"Farrell, Swaniawski and Crist",Emalia Dinse,Perri Aldersley,PC,60-6998932,11198.340000000011,13.18999804947549,2020,7
6,Portugal,71620.08,62245.01,2019-02-05,Books,Schoen-Keeling,Celine Tumasian,Smitty Culverhouse,PC,69-6259390,9375.07,13.090002133479883,2019,2
7,UK,156585.22,126599.15,2020-08-30,Accessories,"Hermiston, Simonis and Wisoky",Jessamine Apark,Winny Agnolo,PC,64-5761908,29986.070000000007,19.15000023629306,2020,8
8,Portugal,78461.13,63537.82,2020-05-10,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Mobile,91-4126746,14923.310000000005,19.020003917863537,2020,5
9,France,64827.8,56043.63,2019-01-20,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,PC,62-3312495,8784.170000000006,13.55000478189913,2019,1
10,Sweden,142664.34,120808.16,2019-05-04,Appliances,"Swaniawski, Runolfsson and Green",Maxie Marrow,Madelon Bront,PC,85-6625096,21856.179999999993,15.32000218134398,2019,5
